artist,player,song,pid,time
Brotha Lynch Hung,James Worthy,My World,13292,1568755909.5685158
03 Greedo,Bobby Brown,Bet I Walk,13297,1568755919.9422526
Crooked I,Bonzi Wells,Shot Ya,13295,1568755935.0692286
Crooked I,Mitch Richmond,Baggy Jeans Era,13295,1568755937.1512983
Crooked I,Ben Simmons,Baggy Jeans Era,13295,1568755937.1514273
Fredro Starr,Gilbert Arenas,The Legacy,13287,1568755944.0891974
Fredro Starr,Gilbert Arenas,The Legacy,13287,1568755946.7681327
Doe B,Mario Chalmers,Turn Up,13288,1568755954.6124277
Doe B,James Worthy,Turn Up,13288,1568755954.6125567
Doe B,Tyson Chandler,Patrick Swayze,13288,1568755963.0172281
2 Chainz,Kevin Durant,Good Drank,13297,1568755968.5122743
2 Chainz,Michael Phelps,Ali Bomaye,13297,1568755983.3120453
French Montana,Marcus Camby,WHO DO U LOVE?,13287,1568756005.1034207
Dom Kennedy,Taj Gibson,The Hook Up,13288,1568756005.6701236
French Montana,Ben Wallace,No Shopping,13287,1568756011.6177883
Dom Kennedy,Kevin Durant,Dusk 2 Dusk,13288,1568756011.9015546
French Montana,Karl Malone,A Lie,13287,1568756015.8660746
French Montana,Dirk Nowitzki,Moses,13287,1568756019.3060315
Domo Genesis,Bobby Brown,Bitches,13288,1568756036.440772
21 Savage,Reggie Miller,BBO (Bad Bitches Only),13297,1568756038.8484247
Domo Genesis,Jerome Kersey,Polo Sweater,13288,1568756049.1433303
Bumpy Knuckles,Gary Harris,Industry Shakedown,13292,1568756052.323619
Don Cannon,Reggie Miller,Big Money,13288,1568756052.371095
Froggy Fresh,Gary Payton,Dunked on 2,13287,1568756073.6833487
Froggy Fresh,Vince Carter,Zombie in My Basement,13287,1568756077.7667859
Donnis,Charles Barkley,Mr. Alladatshit,13288,1568756079.7446988
Froggy Fresh,Jimmy Butler,Jimmy Butler Is Your Father,13287,1568756081.317074
Froggy Fresh,Jimmy Butler,Jimmy Butler Is Your Father,13287,1568756081.3172538
Froggy Fresh,Jimmy Butler,Jimmy Butler Is Your Father,13287,1568756081.317394
Froggy Fresh,Jimmy Butler,Jimmy Butler Is Your Father,13287,1568756081.3175266
Froggy Fresh,Jimmy Butler,Jimmy Butler Is Your Father,13287,1568756081.31766
Froggy Fresh,Michael Jordan,Coolest Guys,13287,1568756084.3281968
Froggy Fresh,Michael Jordan,Coolest Guys,13287,1568756084.3283715
Froggy Fresh,Kobe Bryant,Coolest Guys,13287,1568756084.3285084
Froggy Fresh,Derrick Rose,Halloween III,13287,1568756092.292008
Bahamadia,Larry Nance,3 Tha Hard Way,13291,1568756095.0905643
40 Glocc,Anfernee Hardaway,Murda Murda,13297,1568756097.044896
40 Glocc,Anfernee Hardaway,Murda Murda,13297,1568756097.629722
Dorrough,Michael Jordan,Drive Reckless,13288,1568756098.1670778
Cyhi the Prynce,Michael Jordan,Nu Africa,13295,1568756106.621763
Cyhi the Prynce,Magic Johnson,Nu Africa,13295,1568756106.6219
40 Glocc,Anfernee Hardaway,Murda Murda,13297,1568756109.5747838
40 Glocc,Anfernee Hardaway,Murda Murda,13297,1568756110.1819835
Cyhi the Prynce,Michael Jordan,Nu Africa,13295,1568756111.24333
Cyhi the Prynce,Magic Johnson,Nu Africa,13295,1568756111.243505
Funkmaster Flex,Mario Elie,Loud Hangover,13287,1568756123.5897574
50 Cent,Mike Jackson,Westside Story,13297,1568756129.8725886
6ix9ine,Tracy McGrady,WAKA,13297,1568756148.1658778
Bushwick Bill,Danny Ainge,Subliminal Criminal,13292,1568756148.5406222
6ix9ine,Joe Young,Tsunami 2.0,13297,1568756169.951662
6ix9ine,Joe Young,Tsunami 2.0,13297,1568756169.9517987
6ix9ine,Joe Young,Tsunami 2.0,13297,1568756169.9518971
6ix9ine,Stephen Curry,MOOKY,13297,1568756171.0496857
Beanie Sigel,Carl Thomas,One Shot Deal,13291,1568756171.0924919
Beanie Sigel,Bobby Brown,Heavy Artillery,13291,1568756173.3107128
Beanie Sigel,Larry Hughes,Raw & Uncut,13291,1568756173.951172
Beanie Sigel,Scottie Pippen,Raw & Uncut,13291,1568756173.9513013
G. Dep,Charles Jordan,The Mall,13287,1568756185.4605298
Dr. Dre,Kareem Abdul-Jabbar,Light Speed,13288,1568756186.02797
Dr. Dre,Vince Carter,Some L.A. Niggaz,13288,1568756187.3328822
G Herbo,Wilt Chamberlain,Wilt Chamberlin,13287,1568756203.7305195
Benny Blanco,John Stockton,Shake That,13291,1568756212.927478
Benny Blanco,Michael Jordan,Benny Blanco,13291,1568756214.2087793
Benny Blanco,Michael Jordan,Benny Blanco,13291,1568756215.914378
Benny Blanco,Michael Jordan,Benny Blanco,13291,1568756217.254868
Benny Blanco,Michael Jordan,Benny Blanco,13291,1568756218.5521061
Benny Blanco,Michael Jordan,Benny Blanco,13291,1568756220.0278656
G Herbo,Julius Erving,Who Run It (Remix),13287,1568756226.649188
9lokkNine,Scottie Pippen,Fiesta,13297,1568756232.7465444
C-Rayz Walz,Rasheed Wallace,Chorus III,13292,1568756233.886933
C-Rayz Walz,John Starks,Chorus V,13292,1568756236.2346308
Droop-E,Charles Barkley,Spend The Night,13288,1568756292.9686458
Droop-E,Charles Barkley,Spend The Night,13288,1568756295.9759462
Cam'ron,Steve Francis,Come Home With Me,13292,1568756297.4862924
Canibus,Jimmy Jones,Fantastic 4,13292,1568756308.070836
DaBaby,Patrick Ewing,Goin Baby,13295,1568756312.2276387
Canibus,Yao Ming,Canibus /\ Cambatta,13292,1568756323.953645
Big Daddy Kane,Michael Jordan,Show & Prove,13291,1568756334.0367434
Ab-Soul,Kyle Lowry,Really Doe,13297,1568756353.591201
A Boogie wit da Hoodie,Tracy McGrady,WAKA,13297,1568756381.036707
A Boogie wit da Hoodie,Michael Jordan,Fall in Love,13297,1568756391.8124716
Casey Veggies,Larry Johnson,Hive,13292,1568756392.0821521
Casey Veggies,Carmelo Anthony,Parking Lot,13292,1568756393.6491518
Big Hawk,Reggie Miller,Heavy Weighters,13291,1568756397.6850991
